page_id,lesson_id,page_NO,text,deco_words,style,image_NO,layout
u4_l1_p1,u4_l1,1,いよいよ文をつくっていこう！,,,4-1-1,image_top
u4_l1_p2,u4_l1,2,"英語は言葉を並べるだけで
文が作れるよ。",,,4-1-1,image_top
u4_l1_p3,u4_l1,3,"主語（誰が、何が）→ 動詞（何をする）→ そのほかの説明
という順番に並べればOK！",,,4-1-2,image_top
u4_l1_p4,u4_l1,4,"I am a student.
ここでいう「am」は
「be動詞」っていうよ。",,,4-1-2,image_top
u4_l1_p5,u4_l1,5,"この「be動詞」は
これから「主語」の状態を
説明をするよっていうサイン。",,,4-1-2,image_top
u4_l1_p6,u4_l1,6,"私 ⇒学生だよ ってなかんじに
主語の説明をしているんだ。",,,4-1-2,image_top
u4_l1_p7,u4_l1,7,つぎはYou are a teacher.,,,4-1-3,image_top
u4_l1_p8,u4_l1,8,"ここでは、
「are」が be動詞 だよ。
あなた ⇒ 先生だよ と言っているね。",,,4-1-3,image_top
u4_l1_p9,u4_l1,9,He is in the classroom.,,,4-1-4,image_top
u4_l1_p10,u4_l1,10,"彼 ⇒ 教室の中にいるよ と説明してるよ。
ここでは「is」がbe動詞。",,,4-1-4,image_top
u4_l1_p11,u4_l1,11,"ちょっとまって、
be動詞って無限にでてくるん？",,,4-1-4,image_top
u4_l1_p12,u4_l1,12,"大丈夫。3種類しかないから、
さくっと覚えちゃおう！",,,4-1-4,image_top
u4_l1_p13,u4_l1,13,"I は am
You は are
まず、この二人は特別枠。",,,4-1-5,image_top
u4_l1_p14,u4_l1,14,"他の人達は、単数ならみんな is
複数ならみんな are。
以上。",,,4-1-6,image_top
u4_l1_p15,u4_l1,15,そんなに覚えることは多くないでしょ。,,,4-1-6,image_top
u4_l1_p16,u4_l1,16,"とはいえ、使って慣れるのが大事！
まずは単数の場合で練習してみよう！",,,4-1-6,image_top
u4_l1_p17,u4_l1,17,"そうそう、申し遅れましたが
文の頭は大文字。
文の最後にピリオドを忘れないでね！",,,4-1-8,image_top
