question_id,arrange_word_id,arrange_word,en1,en2,ja1,ja2,voice1,voice2,included_1or2,voice1_name,voice2_name,sentence_first_en,sentence_second_en,answer,chips,audio_first,audio_second,audio_auto,icon_first,icon_second,position_first,position_second,highlight_chips
e0001,va0001,live,Where do you live?,I live near the park!,どこに住んでるの？,公園の近くに住んでるよ！,Kevin,Ivy,1,Kevin,Ivy,___________,I live near the park!,Where do you live?,Where|do|you|live?,e0001-a.mp3,e0001-b.mp3,1,Kevin.png,user,left,right,live?
e0002,va0001,live,I want to live in a big city someday.,,いつか大都市に住んでみたいな。,,Ivy,,1,Ivy,,___________,,I want to live in a big city someday.,I|want|to|live|in|a|big|city|someday.,e0002-a.mp3,,1,user,,right,none,live
e0003,va0002,get,Can you get me a glass of water?,"Sure, one second!",お水一杯とってきてくれる？,うん、ちょっと待ってて！,Ivy,Matthew,1,Ivy,Matthew,___________,"Sure, one second!",Can you get me a glass of water?,Can|you|get|me|a|glass|of|water?,e0003-a.mp3,e0003-b.mp3,1,user,Matthew.png,right,left,get
e0004,va0002,get,I get so excited on my birthday!,,誕生日にはすごくワクワクするんだ！,,Ivy,,1,Ivy,,___________,,I get so excited on my birthday!,I|get|so|excited|on|my|birthday!,e0004-a.mp3,,1,user,,right,none,get
e0005,va0003,someone,Someone is knocking on the door.,I'll go check!,誰かがドアをノックしてるよ。,見てくるね！,Ivy,Kevin,1,Ivy,Kevin,___________,I'll go check!,Someone is knocking on the door.,Someone|is|knocking|on|the|door.,e0005-a.mp3,e0005-b.mp3,1,user,Kevin.png,right,left,Someone
e0006,va0003,someone,I need someone to help me carry this box.,,この箱運ぶの、誰か手伝ってほしいな。,,Ivy,,1,Ivy,,___________,,I need someone to help me carry this box.,I|need|someone|to|help|me|carry|this|box.,e0006-a.mp3,,1,user,,right,none,someone
e0007,va0004,thing,What's that thing on the table?,"Oh, it's my new watch!",テーブルの上のそれ何？,あ、新しい腕時計だよ！,Ivy,Kevin,1,Ivy,Kevin,___________,"Oh, it's my new watch!",What's that thing on the table?,What's|that|thing|on|the|table?,e0007-a.mp3,e0007-b.mp3,1,user,Kevin.png,right,left,thing
e0008,va0004,thing,The best thing about summer is swimming.,,夏の一番いいところは水泳だよね。,,Ivy,,1,Ivy,,___________,,The best thing about summer is swimming.,The|best|thing|about|summer|is|swimming.,e0008-a.mp3,,1,user,,right,none,thing
e0009,va0005,all,Did you eat all the cookies?,"Oops, sorry, I did!",クッキー全部食べちゃったの？,あっ、ごめん、食べちゃった！,Matthew,Ivy,1,Matthew,Ivy,___________,"Oops, sorry, I did!",Did you eat all the cookies?,Did|you|eat|all|the|cookies?,e0009-a.mp3,e0009-b.mp3,1,Matthew.png,user,left,right,all
e0010,va0005,all,All my friends are coming to my party!,,友達みんなパーティーに来てくれるんだ！,,Ivy,,1,Ivy,,___________,,All my friends are coming to my party!,All|my|friends|are|coming|to|my|party!,e0010-a.mp3,,1,user,,right,none,All
e0011,va0006,age,What's your age?,I'm ten years old!,何歳？,10歳だよ！,Kevin,Ivy,1,Kevin,Ivy,___________,I'm ten years old!,What's your age?,What's|your|age?,e0011-a.mp3,e0011-b.mp3,1,Kevin.png,user,left,right,age?
e0012,va0006,age,Kids of all ages will love this game.,,このゲームはどの年齢の子も好きになるよ。,,Ivy,,1,Ivy,,___________,,Kids of all ages will love this game.,Kids|of|all|ages|will|love|this|game.,e0012-a.mp3,,1,user,,right,none,ages
e0013,va0007,cry,Why are you crying?,I lost my favorite toy.,どうして泣いてるの？,お気に入りのおもちゃをなくしちゃったの。,Kevin,Ivy,1,Kevin,Ivy,___________,I lost my favorite toy.,Why are you crying?,Why|are|you|crying?,e0013-a.mp3,e0013-b.mp3,1,Kevin.png,user,left,right,crying?
e0014,va0007,cry,"Don't cry, everything will be okay.",,泣かないで、きっと大丈夫だから。,,Matthew,,1,Matthew,,___________,,"Don't cry, everything will be okay.","Don't|cry,|everything|will|be|okay.",e0014-a.mp3,,1,Matthew.png,,left,none,"cry,"
e0015,va0008,love,I love pizza so much!,"Me too, it's the best!",ピザ大好き！,私も、最高だよね！,Ivy,Kevin,1,Ivy,Kevin,___________,"Me too, it's the best!",I love pizza so much!,I|love|pizza|so|much!,e0015-a.mp3,e0015-b.mp3,1,user,Kevin.png,right,left,love
e0016,va0008,love,My grandma sends me lots of love in her letters.,,おばあちゃんは手紙にたくさんの愛を込めてくれるんだ。,,Ivy,,1,Ivy,,___________,,My grandma sends me lots of love in her letters.,My|grandma|sends|me|lots|of|love|in|her|letters.,e0016-a.mp3,,1,user,,right,none,love
e0017,va0009,become,I want to become a doctor when I grow up.,,大きくなったらお医者さんになりたいな。,,Ivy,,1,Ivy,,___________,,I want to become a doctor when I grow up.,I|want|to|become|a|doctor|when|I|grow|up.,e0017-a.mp3,,1,user,,right,none,become
e0018,va0009,become,The sky is becoming darker. It might rain soon.,,空がだんだん暗くなってきたね。もうすぐ雨が降るかも。,,Ivy,,1,Ivy,,___________,,The sky is becoming darker. It might rain soon.,The|sky|is|becoming|darker.|It|might|rain|soon.,e0018-a.mp3,,1,user,,right,none,becoming
e0019,va0010,little,Can I have a little more juice?,"Sure, here you go!",ジュース、もう少しもらえる？,もちろん、はいどうぞ！,Ivy,Matthew,1,Ivy,Matthew,___________,"Sure, here you go!",Can I have a little more juice?,Can|I|have|a|little|more|juice?,e0019-a.mp3,e0019-b.mp3,1,user,Matthew.png,right,left,little
e0020,va0010,little,My little sister is only three years old.,,私の妹はまだ3歳なんだ。,,Ivy,,1,Ivy,,___________,,My little sister is only three years old.,My|little|sister|is|only|three|years|old.,e0020-a.mp3,,1,user,,right,none,little
e0021,va0011,think,What do you think of this song?,I think it's amazing!,この曲どう思う？,すごくいいと思う！,Ivy,Kevin,1,Ivy,Kevin,___________,I think it's amazing!,What do you think of this song?,What|do|you|think|of|this|song?,e0021-a.mp3,e0021-b.mp3,1,user,Kevin.png,right,left,think
e0022,va0011,think,Let me think about it for a minute.,,ちょっと考えさせて。,,Ivy,,1,Ivy,,___________,,Let me think about it for a minute.,Let|me|think|about|it|for|a|minute.,e0022-a.mp3,,1,user,,right,none,think
e0023,va0012,bathroom,Where's the bathroom?,It's right down the hall.,お手洗いはどこ？,廊下をまっすぐ行ったところだよ。,Ivy,Kevin,1,Ivy,Kevin,___________,It's right down the hall.,Where's the bathroom?,Where's|the|bathroom?,e0023-a.mp3,e0023-b.mp3,1,user,Kevin.png,right,left,bathroom?
e0024,va0012,bathroom,I need to clean the bathroom before Mom gets home.,,ママが帰ってくる前にお風呂場を掃除しないと。,,Ivy,,1,Ivy,,___________,,I need to clean the bathroom before Mom gets home.,I|need|to|clean|the|bathroom|before|Mom|gets|home.,e0024-a.mp3,,1,user,,right,none,bathroom
e0025,va0013,clothes,"You should change your clothes, they're all wet!",,服着替えたほうがいいよ、びしょ濡れじゃん！,,Matthew,,1,Matthew,,___________,,"You should change your clothes, they're all wet!","You|should|change|your|clothes,|they're|all|wet!",e0025-a.mp3,,1,Matthew.png,,left,none,"clothes,"
e0026,va0013,clothes,I put my clothes in the washing machine.,,服を洗濯機に入れたよ。,,Ivy,,1,Ivy,,___________,,I put my clothes in the washing machine.,I|put|my|clothes|in|the|washing|machine.,e0026-a.mp3,,1,user,,right,none,clothes
e0027,va0014,make,Can you make pancakes for breakfast?,"Sure, coming right up!",朝ごはんにパンケーキ作ってくれる？,もちろん、すぐ作るね！,Ivy,Matthew,1,Ivy,Matthew,___________,"Sure, coming right up!",Can you make pancakes for breakfast?,Can|you|make|pancakes|for|breakfast?,e0027-a.mp3,e0027-b.mp3,1,user,Matthew.png,right,left,make
e0028,va0014,make,Loud noises make my dog nervous.,,大きな音がすると、うちの犬が不安になるんだ。,,Ivy,,1,Ivy,,___________,,Loud noises make my dog nervous.,Loud|noises|make|my|dog|nervous.,e0028-a.mp3,,1,user,,right,none,make
e0029,va0015,run,"Let's run to the bus stop, we're late!","Okay, go go go!",バス停まで走ろう、遅刻しちゃう！,了解、行くよ！,Ivy,Kevin,1,Ivy,Kevin,___________,"Okay, go go go!","Let's run to the bus stop, we're late!","Let's|run|to|the|bus|stop,|we're|late!",e0029-a.mp3,e0029-b.mp3,1,user,Kevin.png,right,left,run
e0030,va0015,run,My nose is running. I think I have a cold.,,鼻水が出るんだ。風邪ひいたかも。,,Ivy,,1,Ivy,,___________,,My nose is running. I think I have a cold.,My|nose|is|running.|I|think|I|have|a|cold.,e0030-a.mp3,,1,user,,right,none,running.
e0031,va0016,rain,Is it going to rain today?,"Yeah, bring an umbrella!",今日雨降るかな？,うん、傘持って行きな！,Ivy,Kevin,1,Ivy,Kevin,___________,"Yeah, bring an umbrella!",Is it going to rain today?,Is|it|going|to|rain|today?,e0031-a.mp3,e0031-b.mp3,1,user,Kevin.png,right,left,rain
e0032,va0016,rain,I love the sound of rain on the window.,,窓に当たる雨の音が好きなんだ。,,Ivy,,1,Ivy,,___________,,I love the sound of rain on the window.,I|love|the|sound|of|rain|on|the|window.,e0032-a.mp3,,1,user,,right,none,rain
e0033,va0017,answer,Do you know the answer to this question?,"Nope, no idea!",この問題の答えわかる？,ううん、全然わかんない！,Ivy,Kevin,1,Ivy,Kevin,___________,"Nope, no idea!",Do you know the answer to this question?,Do|you|know|the|answer|to|this|question?,e0033-a.mp3,e0033-b.mp3,1,user,Kevin.png,right,left,answer
e0034,va0017,answer,"Please answer the phone, it's ringing!",,電話出てよ、鳴ってるよ！,,Matthew,,1,Matthew,,___________,,"Please answer the phone, it's ringing!","Please|answer|the|phone,|it's|ringing!",e0034-a.mp3,,1,Matthew.png,,left,none,answer
e0035,va0018,have,Do you have a pencil I can borrow?,"Sure, here you go!",鉛筆貸してもらえる？,もちろん、はいどうぞ！,Ivy,Kevin,1,Ivy,Kevin,___________,"Sure, here you go!",Do you have a pencil I can borrow?,Do|you|have|a|pencil|I|can|borrow?,e0035-a.mp3,e0035-b.mp3,1,user,Kevin.png,right,left,have
e0036,va0018,have,"I have to leave now, or I'll be late.",,もう出ないと、遅れちゃう。,,Ivy,,1,Ivy,,___________,,"I have to leave now, or I'll be late.","I|have|to|leave|now,|or|I'll|be|late.",e0036-a.mp3,,1,user,,right,none,have
